City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mataura,-46.1927,168.8643,23.04,39,100,4.82,NZ,1678583987
1,torbay,47.6666,-52.7314,1.27,95,100,10.29,CA,1678584021
2,baturaja,-4.1333,104.1667,23.93,95,98,0.28,ID,1678584021
3,ilulissat,69.2167,-51.1,-7.99,49,13,2.06,GL,1678584022
4,new norfolk,-42.7826,147.0587,16.62,58,100,0.89,AU,1678584022
5,cururupu,-1.8283,-44.8683,23.93,96,26,1.52,BR,1678584022
6,port elizabeth,-33.918,25.5701,18.39,81,0,6.17,ZA,1678584023
7,barrow,71.2906,-156.7887,-22.99,77,0,4.12,US,1678583913
8,jamestown,42.097,-79.2353,-1.92,92,100,1.54,US,1678583989
9,cape town,-33.9258,18.4232,16.18,69,100,4.92,ZA,1678583477
10,butaritari,3.0707,172.7902,27.65,74,0,6.22,KI,1678584024
11,esso,55.9333,158.7,-6.78,84,100,2.45,RU,1678584024
12,tuatapere,-46.1333,167.6833,17.72,65,95,4.46,NZ,1678584025
13,sibolga,1.7427,98.7792,25.35,82,85,0.83,ID,1678583732
14,rikitea,-23.1203,-134.9692,24.52,85,100,13.4,PF,1678584025
15,dikson,73.5069,80.5464,-21.02,88,100,7.2,RU,1678584026
16,provideniya,64.3833,-173.3,-10.46,91,100,2.47,RU,1678584026
17,tres picos,15.8667,-93.5333,26.05,81,22,1.93,MX,1678584027
18,kapaa,22.0752,-159.319,26.38,59,20,6.69,US,1678584027
19,georgetown,5.4112,100.3354,27.96,82,20,3.6,MY,1678583813
20,itoman,26.1247,127.6694,22.43,68,40,7.72,JP,1678583781
21,waipawa,-41.4122,175.5153,19.79,57,100,3.36,NZ,1678584028
22,saint-philippe,-21.3585,55.7679,24.77,82,78,6.06,RE,1678584029
23,cabo san lucas,22.8909,-109.9124,29.17,28,0,1.54,MX,1678583852
24,havre-saint-pierre,50.2334,-63.5986,-1.0,86,0,3.6,CA,1678583784
25,chuy,-33.6971,-53.4616,23.23,87,20,5.46,UY,1678584030
26,beringovskiy,63.05,179.3167,-15.97,86,5,5.74,RU,1678584031
27,avarua,-21.2078,-159.775,28.03,83,75,6.17,CK,1678584031
28,esna,25.2934,32.554,18.85,27,0,3.08,EG,1678584031
29,krasnyy chikoy,50.3643,108.7512,-14.21,80,18,1.87,RU,1678584032
30,cherskiy,68.75,161.3,-16.54,75,100,4.82,RU,1678584032
31,yellowknife,62.456,-114.3525,-18.71,65,20,2.57,CA,1678584033
32,busselton,-33.65,115.3333,22.84,45,8,0.83,AU,1678583988
33,makakilo city,21.3469,-158.0858,25.86,58,0,3.09,US,1678584033
34,carnarvon,-24.8667,113.6333,26.43,63,0,9.14,AU,1678584034
35,lavrentiya,65.5833,-171.0,-14.85,85,100,3.75,RU,1678584034
36,saint-michel-des-saints,46.6834,-73.9159,-3.37,95,99,1.67,CA,1678584035
37,marabba,12.35,32.1833,24.63,13,93,4.9,SD,1678584035
38,grindavik,63.8424,-22.4338,-8.74,53,20,9.77,IS,1678584036
39,thompson,55.7435,-97.8558,-12.91,66,20,1.54,CA,1678584036
40,saquena,-4.6667,-73.5167,22.81,98,100,1.12,PE,1678584037
41,muli,2.9167,73.5667,27.56,77,24,5.03,MV,1678584037
42,berdigestyakh,62.0989,126.6992,-17.26,93,100,2.83,RU,1678584038
43,haines junction,60.7522,-137.5108,-8.03,35,53,2.57,CA,1678584039
44,qaanaaq,77.484,-69.3632,-21.61,74,24,2.54,GL,1678584039
